Brand,Product Name,Product Price,Product URL
Samsung,"Samsung Galaxy A04e, 32GB 3GB RAM Mobile Phone","123,000",https://www.rootsrwanda.rw/product-detail/MjYxNw==/Samsung-Galaxy-A04e--32GB-3GB-RAM-Mobile-Phone
Samsung,Samsung Galaxy A34 5G 128GB 6GB RAM Network Mobile Phone,"412,000",https://www.rootsrwanda.rw/product-detail/MjU2OA==/Samsung-Galaxy-A34-5G-128GB-6GB-RAM-Network-Mobile-Phone
Samsung,"Samsung Galaxy A14 4GB RAM, 128GB","222,000",https://www.rootsrwanda.rw/product-detail/MjU2MA==/Samsung-Galaxy-A14-4GB-RAM--128GB
Samsung,"Samsung Galaxy A14 4GB RAM, 64GB","195,000",https://www.rootsrwanda.rw/product-detail/MjU1OQ==/Samsung-Galaxy-A14-4GB-RAM--64GB
Samsung,Samsung Galaxy S23 Plus,"1,290,000",https://www.rootsrwanda.rw/product-detail/MjU1Ng==/Samsung-Galaxy-S23-Plus
Samsung,Samsung Galaxy S23 Ultra 512GB 12GB RAM Mobile,"1,680,000",https://www.rootsrwanda.rw/product-detail/MjU0OQ==/Samsung-Galaxy-S23-Ultra-512GB-12GB-RAM-Mobile
Samsung,Samsung Galaxy A73 256GB  8GB Ram Dual Sim Mobile Phone GB530 Mobile Phone,"590,000",https://www.rootsrwanda.rw/product-detail/MjUwMA==/Samsung-Galaxy-A73-256GB--8GB-Ram-Dual-Sim-Mobile-Phone-GB530-Mobile-Phone-
Samsung,"Samsung Galaxy A04s 4GB RAM, 128GB","200,000",https://www.rootsrwanda.rw/product-detail/MjQyMA==/Samsung-Galaxy-A04s-4GB-RAM--128GB
Samsung,"Samsung Galaxy A04s 4GB RAM, 64GB","195,000",https://www.rootsrwanda.rw/product-detail/MjQxOQ==/Samsung-Galaxy-A04s-4GB-RAM--64GB
Samsung,Samsung Galaxy Tab A8 10.5” 32GB 3GB RAM,"285,000",https://www.rootsrwanda.rw/product-detail/MjMxOQ==/Samsung-Galaxy-Tab-A8-10.5----32GB-3GB-RAM
Samsung,"Samsung Galaxy A33 6GB RAM 128GB Storage, 5000mAh (typical) Battery, With Quad camera","355,000",https://www.rootsrwanda.rw/product-detail/MjI5Mw==/Samsung-Galaxy-A33-6GB-RAM-128GB-Storage--5000mAh--typical--Battery--With-Quad-camera
Samsung,"Samsung Galaxy A53 8GB RAM 128GB Storage, 5000mAh (typical) Battery, With Quad camera","475,000",https://www.rootsrwanda.rw/product-detail/MjI5Mg==/Samsung-Galaxy-A53-8GB-RAM-128GB-Storage--5000mAh--typical--Battery--With-Quad-camera
Samsung,"Samsung Galaxy A23 4GB RAM 64GB Storage, 5000mAh (typical) Battery, With Quad camera","250,000",https://www.rootsrwanda.rw/product-detail/MjI4Nw==/Samsung-Galaxy-A23-4GB-RAM-64GB-Storage--5000mAh--typical--Battery--With-Quad-camera
Samsung,"Samsung Galaxy A13 4GB RAM 64GB Storage, 5000mAh (typical) Battery, With Quad camera","215,000",https://www.rootsrwanda.rw/product-detail/MjI4Ng==/-Samsung-Galaxy-A13-4GB-RAM-64GB-Storage--5000mAh--typical--Battery--With-Quad-camera
Samsung,"Samsung Galaxy S22 Ultra 5G, 12GB RAM 256GB Storage, 5000mAh (typical) Battery, With Quad camera  (4 Colors Available Black, White, Green and Burgundy)","1,780,000",https://www.rootsrwanda.rw/product-detail/MjI1OQ==/Samsung-Galaxy-S22-Ultra-5G--12GB-RAM-256GB-Storage--5000mAh--typical--Battery--With-Quad-camera---4-Colors-Available-Black--White--Green-and-Burgundy-
Samsung,"Samsung Galaxy S22+  5G Smartphone, 8GB RAM 256GB Storage, 4500mAh (typical) Battery, With Tripple Rear Camera (2 Colors Available Black and White)","1,045,000",https://www.rootsrwanda.rw/product-detail/MjI1OA==/Samsung-Galaxy-S22---5G-Smartphone--8GB-RAM-256GB-Storage--4500mAh--typical--Battery--With-Tripple-Rear-Camera--2-Colors-Available-Black-and-White-
Samsung,"Samsung Galaxy S22 5G, 4GB RAM 128GB Storage, 3700mAh (typical) Battery, With Tripple Rear Camera (2 Colors Available Green and Black)","935,000",https://www.rootsrwanda.rw/product-detail/MjI1Nw==/Samsung-Galaxy-S22-5G--4GB-RAM-128GB-Storage--3700mAh--typical--Battery--With-Tripple-Rear-Camera--2-Colors-Available-Green-and-Black-
Samsung,"Samsung Galaxy Tab A7  T505 10.4'' 64GB, 3GB RAM","295,000",https://www.rootsrwanda.rw/product-detail/MjE3Mw==/Samsung-Galaxy-Tab-A7--T505-10.4---64GB--3GB-RAM
Samsung,Samsung Galaxy Tab A7 Lite 8.7 3GB / 32GB,"200,000",https://www.rootsrwanda.rw/product-detail/MjE3Mg==/Samsung-Galaxy-Tab-A7-Lite-8.7-3GB---32GB-
Samsung,"Samsung Galaxy S21FE 5G,  8GB, 128GB Storage  Phantom Gray Smartphone","700,000",https://www.rootsrwanda.rw/product-detail/MjExMg==/Samsung-Galaxy-S21FE-5G---8GB--128GB-Storage--Phantom-Gray-Smartphone-
Samsung,"Samsung Galaxy A52 (6GB RAM, 128GB Storage) Black, IP67 Dust & Water Resistant, Smart Mobile phone in Rwanda Warranty.","375,000",https://www.rootsrwanda.rw/product-detail/MjA4Nw==/Samsung-Galaxy-A52--6GB-RAM--128GB-Storage--Black--IP67-Dust---Water-Resistant--Smart-Mobile-phone-in-Rwanda-Warranty.--
Samsung,"Samsung Galaxy A72 Dual Sim  with Quad Camera and 128GB, 8GB RAM Smart Mobile Phone (Black)","495,000",https://www.rootsrwanda.rw/product-detail/MjAyMQ==/Samsung-Galaxy-A72-Dual-Sim--with-Quad-Camera-and-128GB--8GB-RAM-Smart-Mobile-Phone--Black-
Samsung,"Samsung Galaxy A32-128GB, 6GB RAM, Dual Sim 4G Network with Quad Camera , Smart Mobile Phone (Black)","295,000",https://www.rootsrwanda.rw/product-detail/MjAwOQ==/Samsung-Galaxy-A32-128GB--6GB-RAM--Dual-Sim-4G-Network-with-Quad-Camera---Smart-Mobile-Phone--Black-
Samsung,"Samsung Galaxy A22 64GB, 4GB RAM Dual Sim 5G Network with Quad Camera  Smart Mobile Phone(Green)","210,000",https://www.rootsrwanda.rw/product-detail/MjAwOA==/Samsung-Galaxy-A22-64GB--4GB-RAM-Dual-Sim-5G-Network-with-Quad-Camera--Smart-Mobile-Phone-Green-
Samsung,"Samsung Galaxy A03s 32GB, Smartphone 13MP Camera","145,000",https://www.rootsrwanda.rw/product-detail/MjAwNg==/Samsung-Galaxy-A03s-32GB--Smartphone-13MP-Camera
Samsung,Samsung Galaxy A03 Core SM-A013GZRDXFE,"125,000",https://www.rootsrwanda.rw/product-detail/MjAwNQ==/Samsung-Galaxy-A03-Core-SM-A013GZRDXFE
Samsung,Samsung Galaxy S20 FE,"570,000",https://www.rootsrwanda.rw/product-detail/MTk1NA==/Samsung-Galaxy-S20-FE
Samsung,"Samsung Galaxy S21 Ultra 5G 256GB, Black","1,260,000",https://www.rootsrwanda.rw/product-detail/MTkwMw==/Samsung-Galaxy-S21-Ultra-5G-256GB--Black
Samsung,"Samsung Galaxy A12 Dual Sim with 4G Network 64GB, 4GB RAM Smart Mobile Phone","165,000",https://www.rootsrwanda.rw/product-detail/MTU1Nw==/Samsung-Galaxy-A12-Dual-Sim-with-4G-Network-64GB--4GB-RAM-Smart-Mobile-Phone
Samsung,Samsung Galaxy A21s 64GB 4GB RAM dual SIM BLACK  Smart Mobile Phone,"199,000",https://www.rootsrwanda.rw/product-detail/MTM4Mg==/Samsung-Galaxy-A21s-64GB-4GB-RAM-dual-SIM-BLACK--Smart-Mobile-Phone
Samsung,"Samsung Galaxy A02s Dual Sim with 4G Network 32GB, 3GB RAM  Smart Mobile Phone","116,000",https://www.rootsrwanda.rw/product-detail/MTMwMQ==/Samsung-Galaxy-A02s-Dual-Sim-with-4G-Network-32GB--3GB-RAM--Smart-Mobile-Phone
Samsung,"Samsung Galaxy Tab A T295 4G Network 32GB, 2GB RAM",1,https://www.rootsrwanda.rw/product-detail/NDg=/Samsung-Galaxy-Tab-A-T295-4G-Network-32GB--2GB-RAM
Samsung,"Samsung Galaxy  Note20 Ultra 5G Network 256GB, 8GB RAM  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/NDI=/Samsung-Galaxy--Note20-Ultra-5G-Network-256GB--8GB-RAM--Smart-Mobile-Phone
Samsung,Samsung A2 CORE  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/Mzg=/Samsung-A2-CORE--Smart-Mobile-Phone
Samsung,"Samsung Galaxy A01 16GB, 2GB RAM  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/MzY=/Samsung-Galaxy-A01-16GB--2GB-RAM--Smart-Mobile-Phone
Samsung,"Samsung Galaxy A11 32GB, 3GB RAM  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/MzM=/Samsung-Galaxy-A11-32GB--3GB-RAM--Smart-Mobile-Phone
Samsung,"Samsung Galaxy J6 32GB, 3GB RAM  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/MzE=/Samsung-Galaxy-J6-32GB--3GB-RAM--Smart-Mobile-Phone
Samsung,"Samsung Galaxy J7 Pro 64GB, 3GB RAM  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/MzA=/Samsung-Galaxy-J7-Pro-64GB--3GB-RAM--Smart-Mobile-Phone
Samsung,"Samsung Galaxy J7 Neo 16G, 2GB RAM  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/Mjg=/Samsung-Galaxy-J7-Neo-16G--2GB-RAM--Smart-Mobile-Phone
Samsung,"Samsung Galaxy  A10s Smart Phone 32GB, 2GB RAM",1,https://www.rootsrwanda.rw/product-detail/Mjc=/Samsung-Galaxy--A10s-Smart-Phone-32GB--2GB-RAM
Samsung,"Samsung Galaxy M11 Mobile Phone 32GB, 3GB RAM",1,https://www.rootsrwanda.rw/product-detail/MjY=/Samsung-Galaxy-M11-Mobile-Phone-32GB--3GB-RAM--
Samsung,"Samsung Galaxy A20s 32GB, 3GB RAM Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/MjU=/Samsung-Galaxy-A20s-32GB--3GB-RAM-Mobile-Phone-
Samsung,"Samsung Galaxy  A30 64GB, 4GB RAM Smart Phone",1,https://www.rootsrwanda.rw/product-detail/MjM=/Samsung-Galaxy--A30-64GB--4GB-RAM-Smart-Phone
Samsung,"Samsung Galaxy A31 Mobile Phone 64GB, 4GB RAM Dual SIM Smart Phone",1,https://www.rootsrwanda.rw/product-detail/MjI=/Samsung-Galaxy-A31-Mobile-Phone-64GB--4GB-RAM-Dual-SIM-Smart-Phone
Samsung,Samsung Galaxy A40 Dual SIM Smart Phone,1,https://www.rootsrwanda.rw/product-detail/MjA=/Samsung-Galaxy-A40-Dual-SIM-Smart-Phone
Samsung,Samsung Galaxy A80  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/MTk=/Samsung-Galaxy-A80--Smart-Mobile-Phone
Samsung,Samsung Galaxy S9 64GB  Smart Mobile Phone,"390,000",https://www.rootsrwanda.rw/product-detail/MTg=/Samsung-Galaxy-S9-64GB--Smart-Mobile-Phone
Samsung,Samsung Galaxy S9+ 128GB  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/MTc=/Samsung-Galaxy-S9--128GB--Smart-Mobile-Phone
Samsung,Samsung Galaxy S8 Mobile Phone 64GB,1,https://www.rootsrwanda.rw/product-detail/MTY=/Samsung-Galaxy-S8-Mobile-Phone-64GB
Samsung,Samsung Galaxy S8+ 128GB  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/MTQ=/Samsung-Galaxy-S8--128GB--Smart-Mobile-Phone
Samsung,"Samsung Galaxy A51 Mobile Phone 128 GB, 8GB RAM",1,https://www.rootsrwanda.rw/product-detail/MTM=/Samsung-Galaxy-A51-Mobile-Phone-128-GB--8GB-RAM-
Samsung,Samsung Galaxy A71 Mobile Phone 128 GB 64MP Quad Camera,1,https://www.rootsrwanda.rw/product-detail/MTI=/Samsung-Galaxy-A71-Mobile-Phone-128-GB-64MP-Quad-Camera
Samsung,"Samsung Galaxy Note 10 Lite Mobile Phone 128 GB, 6GB RAM",1,https://www.rootsrwanda.rw/product-detail/MTA=/Samsung-Galaxy-Note-10-Lite-Mobile-Phone-128-GB--6GB-RAM
Samsung,Samsung Galaxy Note 10 Plus Mobile Phone 256 GB 12GB RAM,1,https://www.rootsrwanda.rw/product-detail/OA==/Samsung-Galaxy-Note-10-Plus-Mobile-Phone-256-GB-12GB-RAM
Nokia,"Nokia Tab T20 64GB, 4GB RAM Tablet","290,000",https://www.rootsrwanda.rw/product-detail/MjgzNA==/Nokia-Tab-T20-64GB--4GB-RAM-Tablet
Nokia,"Nokia G11 Plus, 3GB RAM 64GB Storage, Android Smartphone.","135,000",https://www.rootsrwanda.rw/product-detail/MjcyNg==/Nokia-G11-Plus--3GB-RAM-64GB-Storage--Android-Smartphone.
Nokia,"Nokia 105, Dual SIM, Keypad Phone.","20,500",https://www.rootsrwanda.rw/product-detail/MjcyNQ==/Nokia-105--Dual-SIM--Keypad-Phone.
Nokia,Nokia G11 Plus 64GB-3GB RAM Smartphone,"150,000",https://www.rootsrwanda.rw/product-detail/MjY5Mg==/Nokia-G11-Plus-64GB-3GB-RAM-Smartphone
Nokia,Nokia C20 32gb 2gb RAM,"110,000",https://www.rootsrwanda.rw/product-detail/MjUzOQ==/Nokia-C20-32gb-2gb-RAM
Nokia,"Nokia G10 smartphone TA-1334 DS , 64GB AND 4GB RAM","142,000",https://www.rootsrwanda.rw/product-detail/MjUzMg==/Nokia-G10-smartphone-TA-1334-DS---64GB-AND-4GB-RAM
Nokia,Nokia X20 128GB 8GB RAM Dual Sim,"350,000",https://www.rootsrwanda.rw/product-detail/MjM3MA==/Nokia-X20-128GB-8GB-RAM-Dual-Sim
Nokia,"Nokia G10  3GB RAM, 32GB  Internal storage, 13 MP Main+2 MP Depth+2 MP Macro Rear camera  Single Sim","140,000",https://www.rootsrwanda.rw/product-detail/MjI1Ng==/Nokia-G10--3GB-RAM--32GB--Internal-storage--13-MP-Main-2-MP-Depth-2-MP-Macro-Rear-camera--Single-Sim
Nokia,"Nokia 3.4 3GB RAM, 64 GB Internal storage, 6.39 inch HD+ (720 x 1560) Screen 13 MP Main + 2 MP Depth + 5 MP Ultrawide Rear flash LED","122,000",https://www.rootsrwanda.rw/product-detail/MjI1NQ==/Nokia-3.4-3GB-RAM--64-GB-Internal-storage--6.39-inch-HD---720-x-1560--Screen-13-MP-Main---2-MP-Depth---5-MP-Ultrawide-Rear-flash-LED
Nokia,"Nokia 2.4 6.5 inch HD+ (720 X 1600) Screen, 13 MP+5 MP Camera, 2GB RAM, 32GB Internal Storage","119,000",https://www.rootsrwanda.rw/product-detail/MjI1NA==/Nokia-2.4-6.5-inch-HD---720-X-1600--Screen--13-MP-5-MP-Camera--2GB-RAM--32GB-Internal-Storage--
Nokia,"Nokia C10 1GB RAM, 32GB Storage Android™ 12  6.5-inch Screen Display (Available in Different colors)","98,000",https://www.rootsrwanda.rw/product-detail/MjIyNA==/Nokia-C10-1GB-RAM--32GB-Storage-Android----12--6.5-inch-Screen-Display--Available-in-Different-colors-
Nokia,"Nokia G20 TA-1365  128GB, 4GB RAM Android™ 12  6.5","188,000",https://www.rootsrwanda.rw/product-detail/MjIxMw==/Nokia-G20-TA-1365--128GB--4GB-RAM-Android----12--6.5
Nokia,Nokia 5310 32MB/16MB RAM Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/NTk=/Nokia-5310-32MB-16MB-RAM-Mobile-Phone
Nokia,Nokia 105 4MB/4MB RAM Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/NTg=/Nokia-105-4MB-4MB-RAM-Mobile-Phone
Nokia,Nokia 105 4th Edition Basic Mobile Phone,"25,000",https://www.rootsrwanda.rw/product-detail/NTc=/Nokia-105-4th-Edition-Basic-Mobile-Phone
Nokia,Nokia 3310 512MB/256MB RAM Basic Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/NTY=/Nokia-3310-512MB-256MB-RAM-Basic-Mobile-Phone
Nokia,Nokia 2nd generation C2 32GB/1GB RAM Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/NTU=/Nokia-2nd-generation-C2-32GB-1GB-RAM-Mobile-Phone
Nokia,Nokia C1 2nd Edition 16GB Mobile 5MP Camara Mobile smart Phone,1,https://www.rootsrwanda.rw/product-detail/NTQ=/Nokia-C1-2nd-Edition-16GB-Mobile-5MP-Camara-Mobile-smart-Phone
Nokia,Nokia 2.3 32GB/2GB RAM Mobile Smart Phone,1,https://www.rootsrwanda.rw/product-detail/NTM=/Nokia-2.3-32GB-2GB-RAM-Mobile-Smart-Phone
Nokia,Nokia 3.2 16GB/2GB RM Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/NTI=/Nokia-3.2-16GB-2GB-RM-Mobile-Phone
Nokia,Nokia 4.2 16GB/2GB RAM Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/NTE=/Nokia-4.2-16GB-2GB-RAM-Mobile-Phone
Huawei,Huawei Honor 9X (128GB/6GB),1,https://www.rootsrwanda.rw/product-detail/MTEx/Huawei-Honor-9X--128GB-6GB-
Huawei,Huawei Honor 7C (32GB /3GB RAM) Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/MTA1/Huawei-Honor-7C--32GB--3GB-RAM--Smart-Mobile-Phone
Huawei,"Huawei Honor Play (64GB, 4GB RAM)  Smart Mobile Phone",1,https://www.rootsrwanda.rw/product-detail/MTAx/Huawei-Honor-Play--64GB--4GB-RAM---Smart-Mobile-Phone
Huawei,Huawei 'P Smart' Dual SIM 32GB and 3GB RAM  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/OTk=/Huawei--P-Smart--Dual-SIM-32GB-and-3GB-RAM--Smart-Mobile-Phone
Huawei,Huawei Y5 LITE 16GB 4G Dual SIM  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/OTg=/Huawei-Y5-LITE-16GB-4G-Dual-SIM--Smart-Mobile-Phone
Huawei,Huawei Nova 3i 128GB + 4GB RAM  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/OTc=/Huawei-Nova-3i-128GB---4GB-RAM--Smart-Mobile-Phone
Huawei,Huawei P30 Lite 4GB/128GB  Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/OTY=/Huawei-P30-Lite-4GB-128GB--Smart-Mobile-Phone
Huawei,Huawei Mediapad Tablet T3 7 16GB/2GB RAM    Smart Mobile Phone,1,https://www.rootsrwanda.rw/product-detail/OTQ=/Huawei-Mediapad-Tablet-T3-7-16GB-2GB-RAM----Smart-Mobile-Phone
Huawei,Huawei Nova 4 128GB/8GB RAM,1,https://www.rootsrwanda.rw/product-detail/OTM=/Huawei-Nova-4-128GB-8GB-RAM
Huawei,Huawei P30 Pro 128GB/8GB RAM,1,https://www.rootsrwanda.rw/product-detail/OTI=/Huawei-P30-Pro-128GB-8GB-RAM
Huawei,Huawei Mate 30 Pro 256GB/8GB RAM,1,https://www.rootsrwanda.rw/product-detail/OTE=/Huawei-Mate-30-Pro-256GB-8GB-RAM
Oppo,"Oppo A3x, 64GB/4GB RAM mobile phone","180,000",https://www.rootsrwanda.rw/product-detail/Mjk1MQ==/Oppo-A3x--64GB-4GB-RAM-mobile-phone
Oppo,"Oppo A3, 128GB/6GB RAM mobile phone","270,000",https://www.rootsrwanda.rw/product-detail/Mjk0OQ==/Oppo-A3--128GB-6GB-RAM-mobile-phone
Oppo,"Oppo A60, 256GB/8GB RAM mobile phone","355,000",https://www.rootsrwanda.rw/product-detail/MjgzOA==/Oppo-A60--256GB-8GB-RAM-mobile-phone
Oppo,"Oppo A38 128GB, 6GB RAM Mobile phone, Newly released","270,000",https://www.rootsrwanda.rw/product-detail/MjgzNw==/Oppo-A38-128GB--6GB-RAM-Mobile-phone--Newly-released
Oppo,"Oppo A18 64GB, 4GB RAM Mobile phone, Available in Kigali","195,000",https://www.rootsrwanda.rw/product-detail/MjgzNg==/Oppo-A18-64GB--4GB-RAM-Mobile-phone--Available-in-Kigali
Oppo,"Oppo A18 128GB, 4GB RAM Mobile phone, New mobile in Kigali","218,500",https://www.rootsrwanda.rw/product-detail/MjgzNQ==/Oppo-A18-128GB--4GB-RAM-Mobile-phone--New-mobile-in-Kigali
Oppo,Oppo A76  128GB 4GB Dual Sim 6.56Inches 13+2Mp Camera 4G Lte Android Mobile Phone,"244,000",https://www.rootsrwanda.rw/product-detail/MjU1Mw==/Oppo-A76--128GB-4GB-Dual-Sim-6.56Inches-13-2Mp-Camera-4G-Lte-Android-Mobile-Phone-
Oppo,"Oppo A17 4GB RAM, 64GB Storage Smart Camera Phone Dual SIM 6.56 inches  screen Size","184,000",https://www.rootsrwanda.rw/product-detail/MjU1Mg==/Oppo-A17-4GB-RAM--64GB-Storage-Smart-Camera-Phone-Dual-SIM-6.56-inches--screen-Size-
Oppo,Oppo A11x 64GB/4GB. 4G Smart Phone -Black,1,https://www.rootsrwanda.rw/product-detail/OTU=/Oppo-A11x-64GB-4GB.-4G-Smart-Phone--Black
